,primarytitle,startyear,runtimeminutes,genres,ordering,category,averagerating,numvotes,primaryname,y_pred
3216,Forgiveness,2004,112,Drama,1,actor,7.3,321,Arnold Vosloo,1
3217,Forgiveness,2004,112,Drama,2,actor,7.3,321,Zane Meas,1
3246,The Circle,2003,108,Thriller,1,actress,5.0,66,Soo-youn Kang,4
3247,The Circle,2003,108,Thriller,2,actor,5.0,66,Jeong Woong-in,4
3276,Love,2003,104,Drama,1,actress,6.0,42,Fernanda Espíndola,1
3277,Love,2003,104,Drama,2,actor,6.0,42,Matt Wiggins,1
3310,Sanctuary,2004,80,Drama,1,actor,4.5,45,Leong Fatt Chin,4
3311,Sanctuary,2004,80,Drama,2,actor,4.5,45,Bok Lai Loh,4
3338,Aftermath,2004,104,Drama,1,actress,6.8,803,Sofie Gråbøl,1
3339,Aftermath,2004,104,Drama,2,actor,6.8,803,Mikael Birkkjær,1
3348,Day and Night,2004,95,Drama,1,actor,6.5,1634,Mikael Persbrandt,1
3349,Day and Night,2004,95,Drama,2,actor,6.5,1634,Sam Kessel,1
3368,Round Trip,2004,86,Comedy,1,actor,6.4,644,Libero De Rienzo,1
3369,Round Trip,2004,86,Comedy,2,actress,6.4,644,Lucilla Giagnoni,1
3380,Kisses,2004,81,Drama,1,actor,5.2,36,Gordan Kicic,4
3381,Kisses,2004,81,Drama,2,actress,5.2,36,Ljubinka Klaric,4
3406,The Mix,2003,90,Comedy,1,actor,3.0,22,Víctor Serrano,4
3407,The Mix,2003,90,Comedy,2,actor,3.0,22,William Miller,4
3436,Evergreen,2004,86,Drama,1,actress,5.1,197,Cara Seymour,4
3437,Evergreen,2004,86,Drama,2,actress,5.1,197,Mary Kay Place,4
3482,Take Out,2004,87,Drama,1,actor,7.0,554,Charles Jang,1
3483,Take Out,2004,87,Drama,2,actor,7.0,554,Jeng-Hua Yu,1
3492,Devotion,2003,80,Thriller,1,actor,4.3,18,Alex Bone,4
3493,Devotion,2003,80,Thriller,2,actor,4.3,18,Charles Grantham,4
3530,Shelter,2003,80,Drama,1,actor,6.2,46,Ray Santiago,1
3531,Shelter,2003,80,Drama,2,actress,6.2,46,Marilyn Soto Santiago,1
